,,WEEK 1,,,,,,,,WEEK 2,,,,,,,,WEEK 3,,,,,,,,WEEK 4,,,,,,,WEEK 5,,,,,,,,WEEK 6,,,,,,,,WEEK 7,,,,,,,,WEEK 8,,,,,,,WEEK 9,,,,,,,,WEEK 10,,,,,,,,WEEK 11,,,,,,,,WEEK 12,,,,,,,,WEEK 13,,,,,,,WEEK 14,,,,,,,WEEK 15,,,,,,,WEEK 16,,,,,,,WEEK 17,,,,,,,WEEK 18,,,,,,,WEEK 19,,,,,,,WEEK 20,,,,,,,WEEK 21,,,,,,,WEEK 22,,,,,,,WEEK 23,,,,,,,WEEK 24,,,,,,,WEEK 25,,,,,,,WEEK 26,,,,,,,WEEK 27,,,,,,,WEEK 28,,,,,,,WEEK 29,,,,,,,WEEK 30,,,,,,,WEEK 31,,,,,,,WEEK 32,,,,,,,WEEK 33,,,,,,,WEEK 34,,,,,,,WEEK 35,,,,,,,WEEK 36,,,,,,,WEEK 37,,,,,,,WEEK 38,,,,,,,WEEK 39,,,,,,,WEEK 40,,,,,,,WEEK 41,,,,,,,WEEK 42,,,,,,,WEEK 43,,,,,,,WEEK 44,,,,,,,WEEK 45,,,,,,,WEEK 46,,,,,,,WEEK 47,,,,,,,WEEK 48,,,,,,,WEEK 49,,,,,,,WEEK 50,,,,,,,WEEK 51,,,,,,
,breathing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,y,n,y,,,,n,n,n,n,n,,,nz,nz,nz,n,y,,,n,,,,,,,,,,,,,,,,,,,,,n,,y,y,y,,,n,n,y,n,n,,,y,y,y,y,y,,,n,n,y,y,y,,,y,y,y,y,y,,,y,n,n,nz,n,,,y,y,y,y,y,,,n,y,y,y,,,,n,n,n,n,,,,y,y,y,y,n,nz,y,y,y,y,y,y,y,y,y,y,y,y,y,,,y,y,y,y,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,floss,y,n,y,nz,y,nz,y,,y,Y,y,y,y,y,nz,,y,nz,y,y,nz,y,n,,n,n,y,nz,y,y,,y,nz,y,y,y,,,,y,y,y,y,y,y,n,,y,y,y,y,nz,nz,nz,,y,y,y,y,n,n,,y,y,y,y,nz,n,nz,,y,y,y,y,nz,,,,y,y,y,y,nz,nz,,,y,y,y,nz,n,,,,y,y,y,nz,nz,,,y,y,y,y,y,n,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nz,n,n,y,,,,,n,y,y,y,y,,y,y,y,y,y,y,y,y,n,n,y,y,,y,y,n,y,y,y,,,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gargle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,y,n,,y,y,y,n,y,y,y,,y,y,y,n,,y,y,y,n,n,n,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hot water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,y,y,,y,y,n,y,y,n,y,y,y,y,y,n,,,y,n,y,n,n,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIND,med morning,nz,y,y,y,y,y,y,,y,y,Y,y,y,y,y,,y,y,y,y,y,y,y,,y,y,y,y,y,y,y,y,y,y,y,y,n,y,,n,y,y,y,y,nz,nz,,y,y,y,y,y,y,y,,y,y,n,y,y,y,y,y,y,y,y,y,y,y,,y,y,y,y,y,y,,,y,y,y,y,y,y,nz,,y,y,y,y,y,,,,y,n,y,y,y,,,y,y,y,y,y,y,,y,,,,,,,,,,,,,,,,,,,,,n,y,y,y,y,y,,n,n,y,,,,,y,n,n,y,y,y,y,n,y,y,y,y,n,,y,y,y,y,y,,,y,y,y,y,y,,,n,y,y,y,n,,y,nz,y,y,y,,,,n,n,n,n,,,,n,n,y,n,n,y,,y,y,y,y,y,,,y,y,y,y,y,,,y,y,y,y,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,y,n,y,n,,y,y,y,y,,,,y,y,y,y,y,n,,y,y,y,y,y,y,,y,n,nz,y,,,,n,nz,y,nz,,,,nz,n,n,n,n,y,n,n,n,y,y,,,,,y,,,n,,,,nz,nz,y,nz,y,y,nz,y,y,,,,,,,,,,,,,,,,,,,,y,,,,,
,Sitting/ standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,y,y,n,,,,y,y,y,y,nz,,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,med evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,med after work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,med night,n,n,n,y,nz,y,,,y,Y,y,y,y,y,y,,y,y,y,y,y,y,y,,n,y,y,n,y,y,nz,y,y,y,y,y,n,n,,n,y,y,y,y,nz,y,,y,y,y,y,y,n,n,,y,y,y,y,n,n,,nz,n,n,y,n,n,,,y,y,y,y,y,,,,y,y,y,y,y,y,n,,y,n,y,y,y,,,,n,y,y,n,y,,,y,y,y,y,n,n,,,,,,,,,,,,,,,,,,,,,,,n,y,y,y,y,n,,y,y,y,n,y,,,y,y,y,y,n,n,,y,y,y,y,y,y,y,y,y,y,y,n,nz,,y,y,y,y,y,y,,n,n,y,y,y,,y,y,y,y,y,,,,y,y,y,,,,,n,n,y,n,n,n,,y,y,n,y,y,n,n,n,y,y,y,,,,n,n,n,n,n,n,n,n,n,,,,,,n,n,n,n,n,n,n,n,n,y,y,n,,,y,y,n,n,n,n,n,n,n,n,nz,,nz,,y,y,y,y,,,,n,n,nz,y,n,y,,y,n,n,y,n,n,,,n,n,,,,y,y,y,y,y,y,y,,y,y,y,y,n,n,,y,y,y,,,,,y,y,y,,,,,n,n,n,n,y,n,y,y,y,y,,,,,y,,,,,,,,n,y,y,y,y,,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,
